1104	159
0.261	0.378
0.264	0.543
0.265	0.748
0.266	1.81
0.267	1.866
0.268	2.017
0.269	2.092
0.27	2.334
0.271	3.144
0.273	3.242
0.274	3.289
0.256	3.589
0.198	4.361
0.175	4.988
0.164	6.458
0.152	7.297
0.15	7.358
0.147	7.552
0.147	7.851
0.148	8.584
0.142	9.813
0.143	10.068
0.139	10.184
0.138	10.28
0.138	10.427
0.138	10.478
0.134	14.024
0.135	14.216
0.136	14.239
0.136	14.246
0.137	14.272
0.138	14.301
0.138	14.308
0.139	14.318
0.14	14.338
0.14	14.373
0.141	14.401
0.139	14.678
0.14	14.788
0.141	15.022
0.14	16.902
0.141	16.911
0.141	17.032
0.142	17.233
0.142	22.738
0.143	22.775
0.143	22.829
0.144	22.913
