2506	603
0.22	4.539
0.218	4.595
0.218	4.706
0.218	4.71
0.219	4.714
0.219	4.728
0.219	4.731
0.214	4.911
0.214	4.951
0.214	4.958
0.212	5.204
0.211	5.229
0.212	5.235
0.212	5.245
0.212	5.255
0.211	5.383
0.212	5.389
0.212	5.399
0.212	5.403
0.212	5.413
0.213	5.416
0.213	5.426
0.213	5.436
0.214	5.439
0.214	5.449
0.214	5.453
0.215	5.456
0.215	5.466
0.215	5.472
0.216	5.486
0.216	5.565
0.216	5.569
0.216	5.589
0.216	5.6
0.215	5.665
0.214	5.759
0.214	5.77
0.215	5.776
0.215	5.969
0.215	5.976
0.216	5.979
0.213	6.064
0.214	6.068
0.213	6.147
0.213	6.168
0.213	6.18
0.214	6.187
0.214	6.421
0.214	6.425
0.214	6.461
0.214	6.472
0.215	6.475
0.215	6.482
0.215	6.501
0.215	6.508
0.215	6.574
0.215	6.675
0.215	6.678
0.215	6.697
0.216	6.703
0.214	7.622
0.214	7.632
0.212	7.807
0.21	7.946
0.211	7.956
0.211	7.962
0.211	7.969
0.211	7.977
0.211	8.007
0.211	8.023
0.211	8.037
0.211	8.089
0.211	8.102
0.212	8.105
0.212	8.112
0.212	8.191
0.213	8.195
0.213	8.202
0.213	8.205
0.214	8.209
0.214	8.23
0.214	8.234
0.214	8.247
0.215	8.254
0.215	8.257
0.215	8.27
0.216	8.274
0.216	8.281
0.216	8.288
0.216	8.291
0.217	8.301
0.217	8.304
0.217	8.348
0.218	8.439
0.216	8.618
0.215	8.681
0.216	8.685
0.216	8.688
0.216	8.695
0.217	8.698
0.217	8.702
0.217	8.708
0.218	8.712
0.218	8.719
0.219	8.722
0.219	8.761
0.219	8.768
0.219	8.775
0.22	8.782
0.22	8.785
0.219	8.925
0.219	8.928
0.22	8.932
0.22	8.946
0.22	8.959
0.22	8.963
0.22	9.33
0.22	9.398
0.22	9.402
0.22	9.418
0.22	9.468
0.22	9.475
0.22	9.488
0.219	9.672
0.22	9.675
0.22	9.689
0.22	9.692
0.22	9.786
0.22	9.796
0.221	9.8
0.221	9.803
0.221	9.81
0.22	9.917
0.221	9.924
0.221	9.931
0.221	9.938
0.22	10.092
0.22	10.154
0.22	10.164
0.22	10.167
0.22	12.196
0.22	12.247
0.22	12.251
0.221	12.254
0.221	12.261
0.221	12.271
0.222	12.274
0.222	12.278
0.222	12.284
0.222	12.288
0.223	12.301
0.223	12.311
0.223	12.317
0.223	12.321
0.224	12.324
0.224	12.338
0.224	12.357
0.224	12.36
0.224	12.374
0.224	12.38
0.225	12.384
0.225	12.387
0.225	12.397
0.225	12.404
0.226	12.408
0.226	12.411
0.226	12.425
0.226	12.428
0.227	12.435
0.227	12.438
0.227	12.442
0.228	12.449
0.228	12.452
0.228	12.456
0.229	12.463
0.229	12.467
0.229	12.473
0.229	12.56
0.23	12.567
0.23	12.574
0.229	12.649
0.229	12.653
0.23	12.659
0.23	12.666
0.228	12.874
0.229	12.88
0.229	12.887
0.229	12.901
0.229	12.905
0.229	12.925
0.229	12.935
0.229	12.942
0.23	12.946
0.23	12.949
0.23	12.956
0.23	12.963
0.231	12.966
0.231	12.976
0.231	13.078
0.231	13.089
0.231	13.098
0.231	13.109
0.232	13.112
0.232	13.161
0.232	13.171
0.232	13.182
0.232	13.185
0.233	13.189
0.233	13.299
0.233	13.302
0.233	13.316
0.234	13.323
0.234	13.336
0.234	13.34
0.234	13.343
0.234	13.357
0.235	13.364
0.235	13.368
0.235	13.379
0.235	13.382
0.236	13.389
0.236	13.399
0.236	13.402
0.236	13.501
0.236	13.505
0.236	13.512
0.236	13.522
0.236	13.529
0.237	13.533
0.237	13.54
0.237	13.613
0.237	13.617
0.238	13.62
0.238	13.627
0.238	13.63
0.239	13.634
0.239	13.648
0.239	13.659
0.239	13.662
0.239	13.666
0.24	13.673
0.24	13.68
0.24	13.815
0.24	13.839
0.239	13.945
0.24	13.949
0.24	13.956
0.24	13.971
0.24	13.992
0.24	14.004
0.24	14.007
0.241	14.011
0.241	14.022
0.241	14.025
0.241	14.092
0.242	14.095
0.242	14.099
0.242	14.145
0.242	14.196
0.242	14.21
0.242	14.454
0.242	18.439
