425	66
0.039	0.074
0.047	0.255
0.052	0.263
0.057	0.266
0.062	0.271
0.067	0.275
0.071	0.278
0.074	0.314
0.078	0.318
0.082	0.323
0.082	0.684
0.083	0.701
0.087	0.705
0.088	0.72
0.087	0.921
0.089	0.931
0.093	0.936
0.096	0.941
0.098	0.95
0.102	1.029
0.104	1.039
0.106	3.601
0.109	3.605
0.11	4.175
0.113	4.18
0.116	4.185
0.119	4.191
0.121	4.196
0.124	4.201
0.127	4.206
0.129	4.211
0.132	4.217
0.13	4.276
0.132	4.282
0.135	4.287
0.137	4.292
0.138	4.371
0.14	4.376
0.141	4.481
0.143	4.486
0.145	4.491
0.147	4.496
0.148	4.507
0.151	4.511
0.153	4.517
0.155	4.522
0.157	4.527
0.159	4.532
0.161	4.538
0.163	4.544
0.165	4.587
0.167	4.593
0.163	4.919
0.164	4.931
0.166	4.938
0.168	4.943
0.168	4.963
0.168	5.764
0.17	5.77
0.164	13.951
