3247	416
0.147	2.986
0.146	3.026
0.146	3.08
0.146	3.179
0.146	3.187
0.146	3.233
0.146	3.237
0.145	3.43
0.144	4.728
0.145	4.851
0.142	5.184
0.142	5.212
0.142	6.309
0.141	6.513
0.14	6.71
0.14	6.735
0.14	6.757
0.141	6.761
0.141	6.785
0.14	6.956
0.139	7.096
0.135	8.366
0.135	8.387
0.135	8.569
0.135	8.714
0.135	9.543
0.133	9.904
0.133	10.099
0.133	10.12
0.133	10.146
0.133	10.153
0.134	10.248
0.134	10.31
0.133	10.396
0.133	10.404
0.134	10.554
0.132	11.082
0.13	12.711
0.13	12.824
0.13	12.839
0.129	13.487
0.129	13.506
0.129	13.58
0.13	13.592
0.13	13.657
0.129	13.94
0.129	13.968
